title,project_id,created_by,created_on,updated_by,updated_on,custom_steps_separated_content,custom_steps_separated_expected,case_ids
[공통] 0.1.1) Android Version 5,113,76,1703138586,76,1703150934,[공통] 0.1.1) Android Version 5,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.2) Android Version 6,113,76,1703138586,76,1703150934,[공통] 0.1.2) Android Version 6,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.3) Android Version 7,113,76,1703138586,76,1703150934,[공통] 0.1.3) Android Version 7,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.4) Android Version 8,113,76,1703138586,76,1703150934,[공통] 0.1.4) Android Version 8,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.5) Android Version 9,113,76,1703138586,76,1703150934,[공통] 0.1.5) Android Version 9,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.6) Android Version 10,113,76,1703138586,76,1703150934,[공통] 0.1.6) Android Version 10,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.7) Android Version 11,113,76,1703138586,76,1703150934,[공통] 0.1.7) Android Version 11,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.8) Android Version 12,113,76,1703138586,76,1703150934,[공통] 0.1.8) Android Version 12,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
[공통] 0.1.9) Android Version 13,113,76,1703138586,76,1703150934,[공통] 0.1.9) Android Version 13,"정상 실행 확인 (설치, 권한팝업, 푸쉬알림, 필수권한, 실행) ",
0.2.1) 회원 로그인 - Home,113,76,1703138586,76,1703150934,0.2.1) 회원 로그인 - Home,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.2) 회원 로그인 - MyG,113,76,1703138586,76,1703150934,0.2.2) 회원 로그인 - MyG,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.3) 회원 로그인 - VIP > 구매하기,113,76,1703138586,76,1703150934,0.2.3) 회원 로그인 - VIP > 구매하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.4) 회원 로그인 - e쿠폰 > PP사 > 선물하기,113,76,1703138586,76,1703150934,0.2.4) 회원 로그인 - e쿠폰 > PP사 > 선물하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.5) 소셜 회원 로그인 - Home,113,76,1703138586,76,1703150934,0.2.5) 소셜 회원 로그인 - Home,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.6) 소셜 회원 로그인 - MyG,113,76,1703138586,76,1703150934,0.2.6) 소셜 회원 로그인 - MyG,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.7) 소셜 회원 로그인 - VIP > 구매하기,113,76,1703138586,76,1703150934,0.2.7) 소셜 회원 로그인 - VIP > 구매하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.8) 소셜 로그인 - e쿠폰 > PP사 > 선물하기,113,76,1703138586,76,1703150934,0.2.8) 소셜 로그인 - e쿠폰 > PP사 > 선물하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.9) 비회원 로그인 - Home,113,76,1703138586,76,1703150934,0.2.9) 비회원 로그인 - Home,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.10) 비회원 로그인 - MyG,113,76,1703138586,76,1703150934,0.2.10) 비회원 로그인 - MyG,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.11) 비회원 로그인 - VIP > 구매하기,113,76,1703138586,76,1703150934,0.2.11) 비회원 로그인 - VIP > 구매하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.12) 비회원 로그인 - e쿠폰 > PP사 > 선물하기,113,76,1703138586,76,1703150934,0.2.12) 비회원 로그인 - e쿠폰 > PP사 > 선물하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.13) 사업자 구매 회원 로그인 - Home,113,76,1703138586,76,1703150934,0.2.13) 사업자 구매 회원 로그인 - Home,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.14) 사업자 구매 회원 로그인 - MyG,113,76,1703138586,76,1703150934,0.2.14) 사업자 구매 회원 로그인 - MyG,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.15) 사업자 구매 회원 로그인 - VIP > 구매하기,113,76,1703138586,76,1703150934,0.2.15) 사업자 구매 회원 로그인 - VIP > 구매하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.16) 사업자 구매 회원 로그인 - e쿠폰 > PP사 > 선물하기,113,76,1703138586,76,1703150934,0.2.16) 사업자 구매 회원 로그인 - e쿠폰 > PP사 > 선물하기,로그인 정상 여부 확인 - 진입된 홈페이지에서 본인 계정 이름 확인,
0.2.17) 로그인 생략,113,76,1703138586,76,1703150934,0.2.17) 로그인 생략,로그인 없이 홈페이지 이동 - 홈페이지가 정상적으로 이동되었는지 확인,
1.1.1) 일반 회원 가입,113,76,1703138586,76,1703150934,"- 가입 페이지 이동하여, 가입 정보 입력
- 위 절차가 정상적으로 완료된 경우 로그인 화면으로 이동","- 가입 페이지가 성공적으로 로드되고, 가입 필수 정보가 입력 가능
- 로그인 페이지가 성공적으로 로드",
1.1.2) 사업자 회원 가입,113,76,1703138586,76,1703150934,"- 가입 페이지 이동하여, 가입 정보 입력
- 위 절차가 정상적으로 완료된 경우 로그인 화면으로 이동","- 가입 페이지가 성공적으로 로드되고, 사업자 회원 가입 가능 문구 노출
- 로그인 페이지가 성공적으로 로드",
1.1.3) 아이디 찾기 ,113,76,1703138586,76,1703150934,"- 아이디 찾기 화면로 이동하여 휴대폰 & 아이핀 정보찾기 라디오 버튼 확인
- 위 절차가 정상적으로 완료된 경우 로그인 화면으로 이동","- 아이디 찾기 페이지가 성공적으로 로드되고, 휴대폰 & 아이핀 정보 찾기 라디오 버튼의 활성화
- 로그인 페이지가 성공적으로 로드",
1.1.4) 비밀번호 찾기,113,76,1703138586,76,1703150934,"- 비밀번호 찾기 페이지로 이동하여, 인증 문구 확인
- 위 절차가 정상적으로 완료된 경우 로그인 화면으로 이동","- 비밀번호 찾기 페이지가 성공적으로 로드되고, 인증 문구 노출
- 로그인 페이지가 성공적으로 로드",
